Village,Село, Village population,Язык,Язык NEW,Language,Language total,Languages in the neigborhood
Durangi,Дуранги,345,аварский,аварский,,117613,
Kizhani,Кижани,309,аварский,аварский,,117613,
Obokh,Обох,408,аварский,аварский,,117613,
Chitab,Читаб,190,аварский,аварский,,117613,
Chuni,Чуни,342,аварский,аварский,,117613,
Shangoda,Шангода,175,аварский,аварский,,117613,
Burkikhan,Буркихан,780,агульский,агульский,,7886,
Richa,Рича,885,агульский,агульский,,7886,
Khpyuk,Хпюк,397,агульский,агульский,,7886,
Darvag,Дарваг,1223,азербайджанский,азербайджанский,,16786,
Ersi,Ерси,1197,азербайджанский,азербайджанский,,16786,
Tsukhta,Цухта,273,акушинский,акушинский даргинский,,50241,
Zilo,Зило,510,зиловский,андийский,,4984,
Rikvani,Риквани,836,рикванийский,андийский,,4984,
Archib,Арчиб,126,арчинский,арчинский,,4984,
Tad-Magitl,Тад-Магитль,295,ахвахский,ахвахский,,2902,
Tlibisho,Тлибишо,250,багвалинский,багвалинский,,3052,
Bezhta,Бежта,1058,бежтинский,бежтинский,,1270,
Shukty,Шукты,653,шуктинский даргинского,гапшиминский даргинский,,1633,
Gdym,Гдым,180,гдымский лезгинский,гдымско-фийский лезгинский,,1096,
Fiy,Фий,916,фийский лезгинский,гдымско-фийский лезгинский,,1096,
Hinuq,Гинух,150,гинухский,гинухский,,150,
Chabanmakhi,Чабанмахи,179,кадарский даргинский,кадарский даргинский,,3723,
Chankurbe,Чанкурбе,,кадарский даргинский,кадарский даргинский,,3723,
Dzhavgat,Джавгат,579,кайтагский,кайтагский даргинский,,13236,
Karata,Карата,1262,каратинский,каратинский,,4336,
Kubachi,Кубачи,1733,кубачинский,кубачинский даргинский,,3502,
Dorgeli,Доргели,3162,кумыкский,кумыкский,,47605,
Tumenler,Тюменлер,224,кумыкский,кумыкский,,47605,
Yangikent,Янгикент,1045,кумыкский,кумыкский,,47605,
Balkhar,Балхар,1195,лакский,лакский,,31987,
Kuli,Кули,2430,лакский,лакский,,31987,
Mukar,Мукар,249,лакский,лакский,,31987,
Uri,Ури,311,лакский,лакский,,31987,
Tsulikana,Цуликана,272,лакский,лакский,,31987,
Shalib,Шалиб,454,лакский,лакский,,31987,
Arkhit,Архит,422,лезгинский,лезгинский,,63939,
Kug,Куг,696,лезгинский,лезгинский,,63939,
Khlyut,Хлют,787,лезгинский,лезгинский,,63939,
Megeb,Мегеб,710,мегебский,мегебский,,710,
Mallakent,Маллакент,125,муиринский диалект даргинского,муиринский даргинский,,15872,
Chumli,Чумли,728,муиринский диалект даргинского,муиринский даргинский,,15872,
Ikhrek,Ихрек,1456,рутульский,рутульский,,8229,
Kina,Кина,196,рутульский,рутульский,,8229,
Kiche,Киче,188,рутульский,рутульский,,8229,
Rutul,Рутул,1769,рутульский,рутульский,,8229,
Sutbuk,Сутбук,327,сутбукский,сирхинский даргинский,,10426,
Uragi,Ураги,305,урагинский,сирхинский даргинский,,10426,
Urtsaki,Урцаки,504,урцакинский,сирхинский даргинский,,10426,
Dyubek,Дюбек,1041,табасаранский,табасаранский,,24826,
Laka,Лака,199,табасаранский,табасаранский,,24826,
Khiv,Хив,844,табасаранский,табасаранский,,24826,
Tukita,Тукита,127,тукитинский,тукитинский,,127,
Khnov,Хнов,1467,хновский рутульский,хновский рутульский,,3792,
Gelmets,Гельмец,403,цахурский,цахурский,,3319,
Kurdul,Курдул,205,цахурский,цахурский,,3319,
Mikik,Микик,258,цахурский,цахурский,,3319,
Kidero,Кидеро,283,цезский,цезский,,2980,
Upper Ubekimakhi,Верхние Убекимахи,411,цудахарский,цудахарский даргинский,,14258,
Chirag,Чираг,1113,чирагский,чирагский даргинский,,1113,
Chirag,Чираг,,чирагский диалект даргинского,чирагский даргинский,,,
