,delta
0,-0.11077926530578644
1,-0.11215102376277894
2,-0.14405400629862414
3,0.01543429211626849
4,0.009493993951258576
5,0.017992286339312394
6,0.13758507640946968
7,0.10820906583030296
8,0.06017137922605619
9,0.0726331024938643
10,0.034636485801392794
11,0.028517761591249472
12,0.0448689185244227
13,0.030899089227077705
14,-0.008125316809261813
15,-0.03079940433902377
16,-0.03176359839919735
17,-0.01530415760021679
18,0.1121592104234198
19,0.13683537960800585
20,0.13423109636638209
21,0.12540756692053082
22,0.13670654548466013
23,0.14416156450606046
24,0.07899827113395873
25,0.05423999483818845
26,0.0010120715487273826
27,-0.02518063086639604
28,-0.0083203514392192
29,-0.004902603797288279
30,-0.06241983471440489
31,-0.039681113090650845
32,-0.010230642292440176
33,-0.048314411519428065
34,-0.11206753332974977
35,-0.09529535575456097
36,0.03941014264095609
37,0.03159026501664676
38,-0.02594266602404415
39,0.006868645283776574
40,-0.022670169417956913
41,0.0279488412609918
42,0.008349191703959228
43,-0.00750141581545888
44,-0.026217316181561943
45,-0.02952079677322519
46,-0.01739769164236363
47,-0.007380451377703826
48,-0.017486271561194047
49,-0.014601419960874645
50,-0.014873177541820133
51,-0.06649183737329495
52,0.012002971714574897
53,-0.0031571520275908756
54,0.04485522951342988
55,0.05228384026249848
56,0.018398325876220294
57,-0.08748390375731983
58,-0.13558596195964995
