,delta
0,-1.6083355368132524
1,-1.6083355368132524
2,-1.6083355368132524
3,-1.6083355368132524
4,-1.0043380393919343
5,0.41117993888816023
6,0.41117993888816023
7,0.41117993888816023
8,0.41117993888816023
9,0.41117993888816023
10,0.41117993888816023
11,0.41117993888816023
12,0.45773103219640926
13,0.10142194451545752
14,0.10142194451545752
15,-0.09875019770379517
16,-0.44843853417188384
17,-0.44843853417188384
18,-0.47862523987715133
19,0.010573700680327404
20,-0.36139877249918767
21,-0.36139877249918767
22,-0.8551810296310232
23,-0.8551810296310232
24,-0.8551810296310232
25,-0.7722918392772127
26,-0.7722918392772127
27,-0.7722918392772127
28,-0.6966878667474248
29,-0.6966878667474248
30,-0.6966878667474248
31,-0.6966878667474248
32,-0.6966878667474248
33,-0.4256531486766683
34,-0.5349290965588864
35,-0.03905672202180347
36,-0.03905672202180347
37,-0.03905672202180347
38,-0.6087910031722467
39,-0.6087910031722467
40,-0.6087910031722467
41,-0.6087910031722467
42,-0.6087910031722467
43,-0.6087910031722467
44,-0.5476225157912815
45,-0.5476225157912815
46,-0.5476225157912815
47,-0.5476225157912815
48,-0.5476225157912815
49,-0.3979462243133384
50,-0.3979462243133384
51,-0.3979462243133384
52,-0.3979462243133384
53,-0.3979462243133384
54,-0.3979462243133384
55,-0.3979462243133384
56,-0.3979462243133384
57,-0.3979462243133384
58,-0.3979462243133384
