,model prediction,sex,residence,year_of_birth,language population,village population,mother tongue,elevation,pred
0,indirect,ж,Balkhar,1922.0,31987.0,1195.0,лакский,1658.48388671875,0.4525738806572531
1,indirect,ж,Bezhta,1922.0,1270.0,1058.0,бежтинский,1633.0812988281302,1.8040892163573798
2,indirect,ж,Burkikhan,1922.0,7886.0,780.0,агульский,1917.4191894531305,1.2764977557958574
3,indirect,ж,Chabanmakhi,1922.0,3723.0,179.0,кадарский даргинский,1020.0406494140601,1.4975341539679734
4,indirect,ж,Chankurbe,1922.0,3723.0,663.6779661016949,кадарский даргинский,882.737670898437,0.8478516298835355
5,indirect,ж,Chirag,1922.0,26628.78333333333,663.6779661016949,чирагский даргинский,2223.19091796875,1.814508736980083
6,indirect,ж,Chuni,1922.0,117613.0,342.0,аварский,1375.91101074219,2.0849278032963072
7,indirect,ж,Darvag,1922.0,16786.0,1223.0,азербайджанский,355.02688598632795,0.05337167449710697
8,indirect,ж,Dorgeli,1922.0,47605.0,3162.0,кумыкский,667.396423339844,0.1121014661280504
9,indirect,ж,Durangi,1922.0,117613.0,345.0,аварский,1040.05541992188,0.2287782040139569
10,indirect,ж,Dyubek,1922.0,24826.0,1041.0,табасаранский,450.744720458984,0.911713437747058
11,indirect,ж,Dzhavgat,1922.0,13236.0,579.0,кайтагский даргинский,365.503295898437,1.4377222056598131
12,indirect,ж,Ersi,1922.0,16786.0,1197.0,азербайджанский,407.0,0.15148040113938244
13,indirect,ж,Fiy,1922.0,1096.0,916.0,гдымско-фийский лезгинский,1927.37268066406,0.4890333235096804
14,indirect,ж,Gdym,1922.0,1096.0,180.0,гдымско-фийский лезгинский,2026.662841796869,1.0858706400576053
15,indirect,ж,Gelmets,1922.0,3319.0,403.0,цахурский,1750.0,1.1566876891757552
16,indirect,ж,Hinuq,1922.0,150.0,150.0,гинухский,1941.0,3.0505832256658363
17,indirect,ж,Ikhrek,1922.0,8229.0,1456.0,рутульский,1792.92919921875,1.1047906293905816
18,indirect,ж,Karata,1922.0,4336.0,1262.0,каратинский,1463.62890625,1.0680914178689365
19,indirect,ж,Khlyut,1922.0,63939.0,787.0,лезгинский,1217.13757324219,0.485651642570889
20,indirect,ж,Khnov,1922.0,3792.0,1467.0,хновский рутульский,1836.39538574219,1.380547167045908
21,indirect,ж,Khpyuk,1922.0,7886.0,397.0,агульский,2186.0732421875,1.5876273457618433
22,indirect,ж,Kiche,1922.0,8229.0,188.0,рутульский,1291.65612792969,1.5409029237908605
23,indirect,ж,Kidero,1922.0,2980.0,283.0,цезский,1900.54162597656,1.1617409233229825
24,indirect,ж,Kina,1922.0,8229.0,196.0,рутульский,1573.32702636719,1.8178204099953128
25,indirect,ж,Kizhani,1922.0,117613.0,309.0,аварский,1515.361328125,0.3874829537082258
