,model prediction,sex,residence,year_of_birth,language population,village population,mother tongue,elevation,pred
0,indirect,ж,Balkhar,1922.0,31987.0,1195.0,лакский,1658.48388671875,0.3469052825412344
1,indirect,ж,Bezhta,1922.0,1270.0,1058.0,бежтинский,1633.0812988281302,0.3568668617176717
2,indirect,ж,Burkikhan,1922.0,7886.0,780.0,агульский,1917.4191894531305,0.34263953777290274
3,indirect,ж,Chabanmakhi,1922.0,3723.0,179.0,кадарский даргинский,1020.0406494140601,0.3510307611032492
4,indirect,ж,Chankurbe,1922.0,3723.0,663.6779661016949,кадарский даргинский,882.737670898437,0.3510307611032492
5,indirect,ж,Chirag,1922.0,26628.78333333333,663.6779661016949,чирагский даргинский,2223.19091796875,0.43407015427505374
6,indirect,ж,Chuni,1922.0,117613.0,342.0,аварский,1375.91101074219,0.3510307611032492
7,indirect,ж,Darvag,1922.0,16786.0,1223.0,азербайджанский,355.02688598632795,0.28404263936824586
8,indirect,ж,Dorgeli,1922.0,47605.0,3162.0,кумыкский,667.396423339844,0.4320982609100835
9,indirect,ж,Durangi,1922.0,117613.0,345.0,аварский,1040.05541992188,0.3510307611032492
10,indirect,ж,Dyubek,1922.0,24826.0,1041.0,табасаранский,450.744720458984,0.3133435888408405
11,indirect,ж,Dzhavgat,1922.0,13236.0,579.0,кайтагский даргинский,365.503295898437,0.36160053629184813
12,indirect,ж,Ersi,1922.0,16786.0,1197.0,азербайджанский,407.0,0.3469052825412344
13,indirect,ж,Fiy,1922.0,1096.0,916.0,гдымско-фийский лезгинский,1927.37268066406,0.12090692213302198
14,indirect,ж,Gdym,1922.0,1096.0,180.0,гдымско-фийский лезгинский,2026.662841796869,0.12285033099708775
15,indirect,ж,Gelmets,1922.0,3319.0,403.0,цахурский,1750.0,0.22221485248406192
16,indirect,ж,Hinuq,1922.0,150.0,150.0,гинухский,1941.0,0.3525447463484358
17,indirect,ж,Ikhrek,1922.0,8229.0,1456.0,рутульский,1792.92919921875,0.3385612289252785
18,indirect,ж,Karata,1922.0,4336.0,1262.0,каратинский,1463.62890625,0.3469052825412344
19,indirect,ж,Khlyut,1922.0,63939.0,787.0,лезгинский,1217.13757324219,0.3510307611032492
20,indirect,ж,Khnov,1922.0,3792.0,1467.0,хновский рутульский,1836.39538574219,0.2733665998112296
21,indirect,ж,Khpyuk,1922.0,7886.0,397.0,агульский,2186.0732421875,0.34263953777290274
22,indirect,ж,Kiche,1922.0,8229.0,188.0,рутульский,1291.65612792969,0.3510307611032492
23,indirect,ж,Kidero,1922.0,2980.0,283.0,цезский,1900.54162597656,0.3525447463484358
24,indirect,ж,Kina,1922.0,8229.0,196.0,рутульский,1573.32702636719,0.3510307611032492
25,indirect,ж,Kizhani,1922.0,117613.0,309.0,аварский,1515.361328125,0.3510307611032492
26,indirect,ж,Kubachi,1922.0,3502.0,1733.0,кубачинский даргинский,1636.75378417969,0.4213375722487309
27,indirect,ж,Kuli,1922.0,31987.0,2430.0,лакский,1955.77087402344,0.4230323699434496
28,indirect,ж,Kuli,1922.0,31987.0,2430.0,лакский,1955.77087402344,0.4230323699434496
29,indirect,ж,Kurdul,1922.0,3319.0,205.0,цахурский,1880.81872558594,0.22221485248406192
30,indirect,ж,Mallakent,1922.0,15872.0,125.0,муиринский даргинский,491.374847412109,0.3510307611032492
31,indirect,ж,Megeb,1922.0,710.0,710.0,мегебский,1712.15393066406,0.4112168909491354
32,indirect,ж,Mikik,1922.0,3319.0,258.0,цахурский,1640.0,0.22868284880614545
33,indirect,ж,Mukar,1922.0,31987.0,249.0,лакский,1667.02294921875,0.3510307611032492
34,indirect,ж,Obokh,1922.0,117613.0,408.0,аварский,1765.45129394531,0.34263953777290274
35,indirect,ж,Richa,1922.0,7886.0,885.0,агульский,2053.85205078125,0.3385612289252785
36,indirect,ж,Rikvani,1922.0,4984.0,836.0,андийский,1874.55419921875,0.28115402822087143
37,indirect,ж,Rutul,1922.0,8229.0,1769.0,рутульский,1342.49267578125,0.4320982609100835
38,indirect,ж,Shangoda,1922.0,117613.0,175.0,аварский,1504.90002441406,0.3510307611032492
39,indirect,ж,Shukty,1922.0,1633.0,653.0,гапшиминский даргинский,1663.48840332031,0.3610453153769908
40,indirect,ж,Sutbuk,1922.0,10426.0,327.0,сирхинский даргинский,1365.90209960938,0.3510307611032492
41,indirect,ж,Tad-Magitl,1922.0,2902.0,295.0,ахвахский,1457.0,0.3610453153769908
42,indirect,ж,Tlibisho,1922.0,3052.0,250.0,багвалинский,1667.69287109375,0.26364485600898
43,indirect,ж,Tsukhta,1922.0,50241.0,273.0,акушинский даргинский,1452.47998046875,0.3510307611032492
44,indirect,ж,Tsulikana,1922.0,31987.0,272.0,лакский,1746.52551269531,0.3466317426633683
45,indirect,ж,Tukita,1922.0,127.0,127.0,тукитинский,1939.52868652344,0.3525447463484358
46,indirect,ж,Tukita,1922.0,127.0,127.0,тукитинский,1939.52868652344,0.3525447463484358
47,indirect,ж,Upper Ubekimakhi,1922.0,14258.0,411.0,цудахарский даргинский,1246.0,0.2664882519305918
48,indirect,ж,Uragi,1922.0,10426.0,305.0,сирхинский даргинский,1538.4582519531198,0.3510307611032492
49,indirect,ж,Uri,1922.0,31987.0,311.0,лакский,1666.2683105468802,0.3510307611032492
50,indirect,ж,Urtsaki,1922.0,10426.0,504.0,сирхинский даргинский,1488.6706542968802,0.3510307611032492
51,indirect,ж,Zilo,1922.0,4984.0,510.0,андийский,1202.365234375,0.2924440280963301
52,indirect,м,Balkhar,1922.0,31987.0,1195.0,лакский,1658.48388671875,0.7742485036763038
53,indirect,м,Bezhta,1922.0,1270.0,1058.0,бежтинский,1633.0812988281302,0.7817919118690713
54,indirect,м,Burkikhan,1922.0,7886.0,780.0,агульский,1917.4191894531305,0.770930878645663
55,indirect,м,Chabanmakhi,1922.0,3723.0,179.0,кадарский даргинский,1020.0406494140601,0.7774066472904273
56,indirect,м,Chankurbe,1922.0,3723.0,663.6779661016949,кадарский даргинский,882.737670898437,0.7774066472904273
57,indirect,м,Chirag,1922.0,26628.78333333333,663.6779661016949,чирагский даргинский,2223.19091796875,0.8319994457682663
58,indirect,м,Chuni,1922.0,117613.0,342.0,аварский,1375.91101074219,0.7774066472904273
59,indirect,м,Darvag,1922.0,16786.0,1223.0,азербайджанский,355.02688598632795,0.7192273421902351
60,indirect,м,Dorgeli,1922.0,47605.0,3162.0,кумыкский,667.396423339844,0.8308738456966701
61,indirect,м,Durangi,1922.0,117613.0,345.0,аварский,1040.05541992188,0.7774066472904273
62,indirect,м,Dyubek,1922.0,24826.0,1041.0,табасаранский,450.744720458984,0.7466065141753429
63,indirect,м,Dzhavgat,1922.0,13236.0,579.0,кайтагский даргинский,365.503295898437,0.7852798094197619
64,indirect,м,Ersi,1922.0,16786.0,1197.0,азербайджанский,407.0,0.7742485036763038
65,indirect,м,Fiy,1922.0,1096.0,916.0,гдымско-фийский лезгинский,1927.37268066406,0.4703495001165426
66,indirect,м,Gdym,1922.0,1096.0,180.0,гдымско-фийский лезгинский,2026.662841796869,0.4748755799647898
67,indirect,м,Gelmets,1922.0,3319.0,403.0,цахурский,1750.0,0.6484704920027148
68,indirect,м,Hinuq,1922.0,150.0,150.0,гинухский,1941.0,0.7785534373005967
69,indirect,м,Ikhrek,1922.0,8229.0,1456.0,рутульский,1792.92919921875,0.7677083105609469
