,year_of_birth,collected data,mean,count
0,1922.0,indirect,0.54,50
1,1922.0,direct,1.0,1
2,1923.0,indirect,0.5476190476190477,42
3,1924.0,indirect,0.5606060606060606,66
4,1924.0,direct,1.0,2
5,1925.0,indirect,0.4507042253521127,71
6,1925.0,direct,0.6666666666666666,3
7,1926.0,indirect,0.7023809523809523,84
8,1926.0,direct,1.0,1
9,1927.0,indirect,0.6101694915254238,59
10,1927.0,direct,0.6,5
11,1928.0,indirect,0.6702127659574468,94
12,1928.0,direct,0.5,6
13,1929.0,indirect,0.6792452830188679,53
14,1929.0,direct,0.3333333333333333,3
15,1930.0,indirect,0.5619047619047619,105
16,1930.0,direct,0.6842105263157895,19
17,1931.0,indirect,0.6875,64
18,1931.0,direct,0.4666666666666667,15
19,1932.0,indirect,0.625,88
20,1932.0,direct,0.5384615384615384,13
21,1933.0,indirect,0.6046511627906976,86
22,1933.0,direct,0.5833333333333334,12
23,1934.0,indirect,0.6515151515151515,66
24,1934.0,direct,0.5714285714285714,21
25,1935.0,indirect,0.6767676767676768,99
26,1935.0,direct,0.6,20
27,1936.0,indirect,0.6862745098039216,102
28,1936.0,direct,0.6,20
29,1937.0,indirect,0.5942028985507246,69
30,1937.0,direct,0.6551724137931034,29
31,1938.0,indirect,0.7195121951219512,82
32,1938.0,direct,0.8064516129032258,31
33,1939.0,indirect,0.7111111111111111,45
34,1939.0,direct,0.8,25
35,1940.0,indirect,0.7246376811594203,69
36,1940.0,direct,0.8695652173913043,23
37,1941.0,indirect,0.8135593220338984,59
38,1941.0,direct,0.6875,16
39,1942.0,indirect,0.8333333333333334,30
40,1942.0,direct,0.8947368421052632,19
41,1943.0,indirect,0.7931034482758621,29
42,1943.0,direct,0.7692307692307693,13
43,1944.0,indirect,0.8571428571428571,21
44,1944.0,direct,1.0,17
45,1945.0,indirect,0.7714285714285715,35
46,1945.0,direct,1.0,8
47,1946.0,indirect,0.75,20
48,1946.0,direct,0.875,16
49,1947.0,indirect,0.8,25
50,1947.0,direct,0.9333333333333333,15
51,1948.0,indirect,0.8571428571428571,28
52,1948.0,direct,0.8571428571428571,21
53,1949.0,indirect,0.7575757575757576,33
54,1949.0,direct,0.8076923076923077,26
55,1950.0,indirect,0.9130434782608695,46
56,1950.0,direct,0.9523809523809523,21
57,1951.0,indirect,0.9090909090909091,33
58,1951.0,direct,0.96875,32
59,1952.0,indirect,0.8648648648648649,37
60,1952.0,direct,0.8636363636363636,22
61,1953.0,indirect,0.9032258064516129,31
62,1953.0,direct,0.9583333333333334,24
63,1954.0,indirect,0.8421052631578947,38
64,1954.0,direct,0.896551724137931,29
65,1955.0,indirect,0.9090909090909091,33
66,1955.0,direct,0.9230769230769231,39
67,1956.0,indirect,0.9,30
68,1956.0,direct,0.9642857142857143,28
69,1957.0,indirect,1.0,34
70,1957.0,direct,0.9166666666666666,36
71,1958.0,indirect,0.9230769230769231,39
72,1958.0,direct,0.9534883720930233,43
73,1959.0,indirect,0.9473684210526315,38
74,1959.0,direct,0.8857142857142857,35
75,1960.0,indirect,0.9555555555555556,45
76,1960.0,direct,1.0,38
77,1961.0,indirect,0.926829268292683,41
78,1961.0,direct,1.0,35
79,1962.0,indirect,0.9722222222222222,36
80,1962.0,direct,0.8888888888888888,36
81,1963.0,indirect,0.9565217391304348,46
82,1963.0,direct,1.0,31
83,1964.0,indirect,0.9245283018867925,53
84,1964.0,direct,0.9666666666666667,30
85,1965.0,indirect,0.9183673469387755,49
86,1965.0,direct,0.9705882352941176,34
87,1966.0,indirect,0.9534883720930233,43
88,1966.0,direct,0.9642857142857143,28
89,1967.0,indirect,0.9767441860465116,43
90,1967.0,direct,0.9642857142857143,28
91,1968.0,indirect,0.9777777777777777,45
92,1968.0,direct,0.9743589743589743,39
93,1969.0,indirect,0.9090909090909091,44
94,1969.0,direct,0.9393939393939394,33
95,1970.0,indirect,0.9583333333333334,48
96,1970.0,direct,1.0,18
97,1971.0,indirect,1.0,32
98,1971.0,direct,0.9714285714285714,35
99,1972.0,indirect,0.975609756097561,41
100,1972.0,direct,0.9444444444444444,18
101,1973.0,indirect,0.9705882352941176,34
102,1973.0,direct,0.9259259259259259,27
103,1974.0,indirect,1.0,36
104,1974.0,direct,1.0,20
105,1975.0,indirect,0.9705882352941176,34
106,1975.0,direct,1.0,23
107,1976.0,indirect,1.0,30
108,1976.0,direct,1.0,25
109,1977.0,indirect,1.0,38
110,1977.0,direct,0.9259259259259259,27
111,1978.0,indirect,1.0,23
112,1978.0,direct,1.0,14
113,1979.0,indirect,0.8846153846153846,26
114,1979.0,direct,0.875,16
115,1980.0,indirect,1.0,31
116,1980.0,direct,1.0,17
